"Name	Roll No",,Managenment,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Ananthu	1",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Hari	2",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	3",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	4",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	5",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	6",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	7",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	8",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	9",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	10",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	11",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	12",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	13",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	14",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	15",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	16",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	17",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	18",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	19",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	20",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	21",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	22",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	23",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	24",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	25",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	26",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
"Rohith	27",2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
,2,ddfd,Depo,fdfdfd,dfdfdf,dfdf,dfdf,dfdf,dffd,fdfd
,2,,,fdfdfd,dfdfdf,,dfdf,dfdf,dffd,fdfd
,,,,fdfdfd,dfdfdf,,dfdf,dfdf,dffd,fdfd
,,,,fdfdfd,dfdfdf,,dfdf,dfdf,dffd,fdfd
,,,,fdfdfd,,,dfdf,,dffd,fdfd
,,,,fdfdfd,,,,,,fdfd
